"Base Word",Guideword,Level,"Part of Speech",YLE,YLE
direct,ORGANIZE,C1,verb,,
distribute,SUPPLY,C1,verb,,
divide,NUMBERS,C1,verb,,
doubt,"NOT BELIEVE",C1,verb,,
draft,,C1,verb,,
dump,"GET RID OF",C1,verb,,
eliminate,"GET RID OF",C1,verb,,
enclose,"BE ALL AROUND",C1,verb,,
enforce,,C1,verb,,
enrich,,C1,verb,,
enter,"PERIOD OF TIME",C1,verb,,
envisage,,C1,verb,,
envision,,C1,verb,,
exceed,"BE MORE",C1,verb,,
exclude,"KEEP OUT",C1,verb,,
exclude,"NOT INCLUDE",C1,verb,,
exhaust,,C1,verb,,
colour,AFFECT,C2,verb,,
comfort,,C2,verb,,
commemorate,,C2,verb,,
commit,DECISION,C2,verb,,
conceal,,C2,verb,,
conceive,IDEA,C2,verb,,
confine,,C2,verb,,
confront,ACCUSE,C2,verb,,
confront,"DEAL WITH",C2,verb,,
connect,INVOLVE,C2,verb,,
constrain,,C2,verb,,
contain,EMOTION,C2,verb,,
contemplate,,C2,verb,,
contradict,DIFFERENT,C2,verb,,
contrast,COMPARE,C2,verb,,
count,CONSIDER,C2,verb,,
count,INCLUDE,C2,verb,,
crave,,C2,verb,,
crush,,C2,verb,,
cultivate,DEVELOP,C2,verb,,
curb,,C2,verb,,
dazzle,"EXTREMELY GOOD",C2,verb,,
dazzle,LIGHT,C2,verb,,
decide,RESULT,C2,verb,,
deduce,,C2,verb,,
defy,,C2,verb,,
demolish,"PROVE WRONG",C2,verb,,
demonstrate,EXPRESS,C2,verb,,
depict,,C2,verb,,
devise,,C2,verb,,
differentiate,"MAKE DIFFERENT",C2,verb,,
disguise,HIDE,C2,verb,,
display,FEELING,C2,verb,,
dispute,,C2,verb,,
disturb,UPSET,C2,verb,,
drain,"REMOVE LIQUID",C2,verb,,
drain,"MAKE TIRED",C2,verb,,
dread,,C2,verb,,
drive,"MAKE WORK",C2,verb,,
earn,DESERVE,C2,verb,,
echo,REPEAT,C2,verb,,
embarrass,,C2,verb,,
embody,,C2,verb,,
emit,,C2,verb,,
equate,,C2,verb,,
escape,FORGET,C2,verb,,
escape,"NOT NOTICE",C2,verb,,
execute,KILL,C2,verb,,
execute,DO,C2,verb,,
download,,A2,verb,,
dress,"PUT ON CLOTHES",A2,verb,,
earn,"GET MONEY",A2,verb,,
enter,PLACE,A2,verb,,
compare,"EXAMINE DIFFERENCES",B1,verb,,
consider,"THINK CAREFULLY",B1,verb,,
continue,"NEVER STOP",B1,verb,,
crash,VEHICLE,B1,verb,,
decrease,,B1,verb,,
develop,CHANGE,B1,verb,,
dial,,B1,verb,,
direct,FILM/PLAY,B1,verb,,
dream,IMAGINE,B1,verb,,
entertain,,B1,verb,,
exercise,"PHYSICAL ACTIVITY",B1,verb,,
exit,,B1,verb,,
explode,,B1,verb,,
coach,,B2,verb,,
collect,MONEY,B2,verb,,
contribute,GIVE,B2,verb,,
cool,GOOD,A2,adjective,Starters,
dirty,,A2,adjective,Starters,
double,,A2,adjective,Starters,
correct,ACCURATE,A2,adjective,Starters,
do,"SPORT ETC.",A2,verb,Starters,
grandma,,A2,noun,Starters,
grandpa,,A2,noun,Starters,
fishing,,A2,noun,Starters,
fish,ANIMAL,A1,noun,Starters,
horse,,A1,noun,Starters,
frog,,B1,noun,Starters,
giraffe,,B1,noun,Starters,
goat,,B1,noun,Starters,
guitar,,A1,noun,Starters,
eye,"BODY PART",A1,noun,Starters,
face,HEAD,A1,noun,Starters,
foot,"BODY PART",A1,noun,Starters,
hand,"BODY PART",A1,noun,Starters,
head,BODY,A1,noun,Starters,
excited,,A1,adjective,Flyers,
enormous,,B1,adjective,Flyers,
dear,"IN LETTERS",A1,adjective,Flyers,
dark,"NOT PALE",A1,adjective,Flyers,
deep,"TOP TO BOTTOM",A2,adjective,Flyers,
excellent,,A2,adjective,Flyers,
else,"IN ADDITION",A2,adverb,Flyers,
expensive,,A1,adjective,Flyers,
delicious,,B1,adjective,Flyers,
dark,"NO LIGHT",A2,adjective,Flyers,
early,BEGINNING,A2,adjective,Flyers,
empty,"NOTHING INSIDE",A2,adjective,Flyers,
extinct,,C1,adjective,Flyers,
early,BEGINNING,A1,adverb,Flyers,
early,BEFORE,A2,adverb,Flyers,
else,DIFFERENT,A2,adverb,Flyers,
else,OTHER,A2,adverb,Flyers,
enough,"NECESSARY AMOUNT",A2,adverb,Flyers,
ever,"AT ANY TIME",A2,adverb,Flyers,
everywhere,,A2,adverb,Flyers,
firefighter,,B1,noun,Flyers,
fur,,B1,noun,Flyers,
festival,PERFORMANCES,B1,noun,Flyers,
finger,"ON HAND",A2,noun,Flyers,
different,"NOT SAME",A1,adjective,Movers,
exciting,,A1,adjective,Movers,
dangerous,,A2,adjective,Movers,
curly,,B1,adjective,Movers,
down,SURFACE,A1,adverb,Movers,
down,"LOWER POSITION",A2,adverb,Movers,
downstairs,,A2,adverb,Movers,
dry,"NOT WET",A2,adjective,Movers,
dry,"NO RAIN",A2,adjective,Movers,
difficult,"NOT FRIENDLY",B1,adjective,Movers,
cold,TEMPERATURE,A1,adjective,Movers,
difficult,"NOT EASY",A1,adjective,Movers,
easy,,A1,adjective,Movers,
farmer,,A2,noun,Movers,
"ice skating",,B1,noun,Movers,
fly,,B1,noun,Movers,
film,"MOVING PICTURES",A1,noun,Movers,
headache,,A2,noun,Movers,
cool,,B2,verb,,
decay,,B2,verb,,
donate,"GIVE MONEY",B2,verb,,
double,,B2,verb,,
escape,AVOID,B2,verb,,
expand,,B2,verb,,
export,,B2,verb,,
conquer,,C1,verb,,
contradict,"SAY SOMEONE IS WRONG",C1,verb,,
contribute,WRITE,C1,verb,,
deepen,KNOWLEDGE,C1,verb,,
deliver,PROMISE,C1,verb,,
differentiate,"SEE DIFFERENCE",C1,verb,,
diminish,,C1,verb,,
dominate,"BE IMPORTANT",C1,verb,,
donate,BLOOD/ORGANS,C1,verb,,
exaggerate,,C1,verb,,
compensate,"MAKE BETTER",C2,verb,,
conceive,IMAGINE,C2,verb,,
contract,AGREEMENT,C2,verb,,
convert,RELIGION,C2,verb,,
cross,LINE/BORDER,C2,verb,,
crumble,,C2,verb,,
debate,,C2,verb,,
deepen,WORSE/STRONGER,C2,verb,,
delegate,,C2,verb,,
dim,,C2,verb,,
dissolve,"BECOME LIQUID",C2,verb,,
drain,REDUCE,C2,verb,,
devil,"EVIL BEING",B2,noun,,
combat,,C2,noun,,
combat,,C2,verb,,
empirical,,C2,adjective,,
evidently,,B2,adverb,,
evident,,B2,adjective,,
deceased,DEAD,C2,adjective,,
due,BEHAVIOUR,C2,adjective,,
dead,QUIET,C2,adjective,,
dead,EXTREMELY,C1,adverb,,
dump,"END RELATIONSHIP",C2,verb,,
disabled,,B1,adjective,,
disorganized,"OF SOMEONE",B2,adjective,,
dissatisfied,,B2,adjective,,
disrespectful,,C2,adjective,,
dishonestly,,C1,adverb,,
dishonest,,B2,adjective,,
dislike,"NOT LIKING",B2,noun,,
comfortable,CLOTHES/FURNITURE,A2,adjective,,
comparable,,C1,adjective,,
comfortable,MONEY,C2,adjective,,
comfortable,PERSON,B1,adjective,,
enjoyable,,B1,adjective,,
comfortable,"WITHOUT WORRIES",B2,adjective,,
desirable,,B2,adjective,,
cultural,ARTS,B1,adjective,,
critical,OPINIONS,C2,adjective,,
dental,,B2,adjective,,
critical,"NOT PLEASED",B2,adjective,,
criminal,CRIME,B2,adjective,,
exceptional,GOOD,B2,adjective,,
educational,,B2,adjective,,
economical,,B2,adjective,,
environmental,,B1,adjective,,
coastal,,B2,adjective,,
ecological,,B2,adjective,,
emotional,EMOTIONS,B2,adjective,,
emotional,"STRONG FEELINGS",B2,adjective,,
cynical,,C2,adjective,,
constitutional,,C2,adjective,,
digital,SYSTEM,A2,adjective,,
digital,DISPLAY,B1,adjective,,
electrical,"USING ELECTRICITY",B1,adjective,,
dominant,STRONG,C2,adjective,,
engaged,"IN USE",B1,adjective,,
damaged,,B1,adjective,,
decaffeinated,,C2,adjective,,
detached,BUILDING,C1,adjective,,
depressed,ECONOMY,C2,adjective,,
confused,"NOT UNDERSTAND",B1,adjective,,
delighted,,B1,adjective,,
disappointed,,B1,adjective,,
embarrassed,,B1,adjective,,
exhausted,,B1,adjective,,
experienced,,B1,adjective,,
concerned,WORRIED,B2,adjective,,
convinced,,B2,adjective,,
determined,,B2,adjective,,
devoted,,B2,adjective,,
distinguished,,B2,adjective,,
committed,,C2,adjective,,
conceited,,C2,adjective,,
detached,"NOT EMOTIONAL",C2,adjective,,
dignified,,C2,adjective,,
elated,,C2,adjective,,
developed,,B2,adjective,,
divorced,,B1,adjective,,
engaged,MARRIAGE,B1,adjective,,
different,SEPARATE,B1,adjective,,
confident,ABILITY,B1,adjective,,
competent,,C1,adjective,,
designer,,B2,adjective,,
colourful,BRIGHT,B1,adjective,,
delightful,,B2,adjective,,
dreadful,,B2,adjective,,
doubtful,"NOT CERTAIN",B2,adjective,,
compatible,PEOPLE,C2,adjective,,
compatible,EQUIPMENT,C1,adjective,,
domestic,HOME,B2,adjective,,
economic,,B2,adjective,,
dynamic,ACTIVE,B2,adjective,,
energetic,,B2,adjective,,
enthusiastic,,B2,adjective,,
democratic,,B2,adjective,,
domestic,COUNTRY,B2,adjective,,
electric,EQUIPMENT,A2,adjective,,
electric,SUPPLY,B1,adjective,,
electronic,EQUIPMENT,B1,adjective,,
electronic,TECHNOLOGY,B1,adjective,,
disgusting,,B1,adjective,,
confusing,,B1,adjective,,
disappointing,,B1,adjective,,
easygoing,,B1,adjective,,
embarrassing,,B1,adjective,,
depressing,,B2,adjective,,
distressing,,B2,adjective,,
encouraging,,B2,adjective,,
exhausting,,B2,adjective,,
developing,,B2,adjective,,
education,,B1,noun,,
expectation,,B2,noun,,
corporation,,B2,noun,,
community,"GROUP OF PEOPLE",B2,noun,,
decorative,,B2,adjective,,
extensive,,B2,adjective,,
creative,,B1,adjective,,
competitive,PERSON,B2,adjective,,
cooperative,,B2,adjective,,
decisive,"MAKING DECISIONS",B2,adjective,,
expressive,,C2,adjective,,
competitive,SITUATION,B2,adjective,,
competitive,PRICES/SERVICES,B2,adjective,,
criticize,,B2,verb,,
especially,"VERY MUCH",A2,adverb,,
completely,,B1,adverb,,
exactly,EMPHASIS,B1,adverb,,
consequently,,B2,adverb,,
deeply,,B2,adverb,,
desperately,SERIOUSLY,B2,adverb,,
entirely,,B2,adverb,,
exactly,AGREEMENT,B2,adverb,,
extraordinarily,,B2,adverb,,
exactly,"COMPLETELY CORRECT",A2,adverb,,
densely,,B2,adverb,,
ecologically,,B2,adverb,,
environmentally,,B2,adverb,,
elegantly,,B2,adverb,,
cowardly,,B2,adjective,,
curiously,"WANTING TO KNOW",B1,adverb,,
dangerously,,B1,adverb,,
excitedly,,B1,adverb,,
confidently,,B2,adverb,,
creatively,,B2,adverb,,
cruelly,,B2,adverb,,
desperately,"TRYING EVERYTHING",B2,adverb,,
eagerly,,B2,adverb,,
emotionally,,B2,adverb,,
enthusiastically,,B2,adverb,,
electronically,,B2,adverb,,
conscious,AWAKE,C1,adjective,,
disastrous,,C1,adjective,,
curious,,B1,adjective,,
conscientious,,C1,adjective,,
courageous,,C1,adjective,,
courteous,,C2,adjective,,
comic,,B1,adjective,,
comedian,,B2,noun,,
deaf,,B1,adjective,,
dizzy,,B2,adjective,,
dry,HAIR/SKIN,C1,adjective,,
dumb,,C1,adjective,,
dead,BODY,C2,adjective,,
complex,MENTAL,C2,noun,,
complete,TOTAL,B1,adjective,,
coherent,UNDERSTAND,C2,adjective,,
down,"IN WRITING",B1,adverb,,
cream,,A2,adjective,,
extra,,A2,adjective,,
deep,COLOUR,B1,adjective,,
equal,"SAME AMOUNT/NUMBER, ETC.",B1,adjective,,
exact,,B1,adjective,,
extraordinary,,B1,adjective,,
decent,SATISFACTORY,B2,adjective,,
deep,SOUND,B2,adjective,,
delicate,SOFT,B2,adjective,,
delicate,"EASY TO DAMAGE",B2,adjective,,
dense,,B2,adjective,,
distant,"FAR AWAY",B2,adjective,,
entire,,B2,adjective,,
extreme,"VERY LARGE",B2,adjective,,
dull,"NOT BRIGHT",C1,adjective,,
crisp,MATERIAL,C2,adjective,,
dated,,C2,adjective,,
defective,,C2,adjective,,
desperate,SERIOUS,C2,adjective,,
dry,BORING,C2,adjective,,
elaborate,,C2,adjective,,
deep,"LONG WAY INTO",B1,adverb,,
down,FAR,B1,adverb,,
extra,,B1,adverb,,
elementary,,B1,adjective,,
dairy,,B2,adjective,,
dry,WINE,C1,adjective,,
crisp,,A2,noun,,
downstairs,,B1,adjective,,
complex,BUILDINGS,C1,noun,,
extravagant,,C2,adjective,,
cool,"SLIGHTLY COLD",B1,adjective,,
damp,,B2,adjective,,
"environmentally friendly",,B2,adjective,,
crisp,WEATHER,C2,adjective,,
ecology,,C1,noun,,
elderly,,B1,adjective,,
elegant,,B2,adjective,,
crazy,STUPID,A2,adjective,,
cold,UNFRIENDLY,B1,adjective,,
cruel,,B1,adjective,,
clumsy,,B2,adjective,,
content,,B2,adjective,,
crazy,ANGRY,B2,adjective,,
dear,LIKED,B2,adjective,,
decent,HONEST,B2,adjective,,
deep,"STRONGLY FELT",B2,adjective,,
desperate,"WITHOUT HOPE",B2,adjective,,
desperate,NEEDING,B2,adjective,,
down,UNHAPPY,B2,adjective,,
eager,,B2,adjective,,
evil,,B2,adjective,,
expert,,B2,adjective,,
cool,CALM,C1,adjective,,
corrupt,,C1,adjective,,
devastated,,C1,adjective,,
distant,"NOT FRIENDLY",C1,adjective,,
cool,UNFRIENDLY,C2,adjective,,
defensive,,C2,adjective,,
diplomatic,PEOPLE,C2,adjective,,
eccentric,,C2,adjective,,
eminent,,C2,adjective,,
contempt,,C2,noun,,
consider,"THINK OF OTHERS",C2,verb,,
diplomatic,GOVERNMENTS,C1,adjective,,
council,,B2,noun,,
defeat,FAILING,B2,noun,,
couple,"TWO PEOPLE",B1,noun,,
down,"NOT WORKING",C1,adjective,,
executive,,C1,adjective,,
Dr,,A2,noun,,
committee,,B2,noun,,
crew,TEAM,B2,noun,,
drunk,,B2,adjective,,
disposable,,C2,adjective,,
disloyal,,C2,adjective,,
disorganized,"OF SOMETHING",B2,adjective,,
disadvantaged,,C1,adjective,,
disgusted,,C1,adjective,,
disillusioned,,C2,adjective,,
disruptive,,C2,adjective,,
dismiss,"MAKE LEAVE",C1,verb,,
considerable,,B2,adjective,,
cultural,"WAY OF LIFE",B1,adjective,,
essential,NECESSARY,B1,adjective,,
commercial,"BUYING AND SELLING",B2,adjective,,
controversial,,B2,adjective,,
conventional,TRADITIONAL,B2,adjective,,
critical,IMPORTANT,B2,adjective,,
critical,SERIOUS,B2,adjective,,
crucial,,B2,adjective,,
external,OUTSIDE,B2,adjective,,
external," FROM A DIFFERENT PLACE",B2,adjective,,
confidential,,C1,adjective,,
electrical,SUPPLY,C1,adjective,,
commercial,"FOR PROFIT",C2,adjective,,
continental,,C2,adjective,,
essential,BASIC,C2,adjective,,
ethical,RIGHT/WRONG,C2,adjective,,
ethical,GOOD,C2,adjective,,
exceptional,UNUSUAL,C2,adjective,,
experimental,,C2,adjective,,
dominant,IMPORTANT,C1,adjective,,
crowded,,A2,adjective,,
dressed,"WEARING CLOTHES",A2,adjective,,
complicated,,B1,adjective,,
depressed,UNHAPPY,B1,adjective,,
dressed,"PARTICULAR CLOTHES",B1,adjective,,
confused,"NOT CLEAR",B2,adjective,,
detailed,,B2,adjective,,
divided,,B2,adjective,,
educated,,B2,adjective,,
endangered,,B2,adjective,,
estimated,,B2,adjective,,
concerned,AFFECTED,C2,adjective,,
disturbed,,C2,adjective,,
engrossed,,C2,adjective,,
convenient,EASY/SUITABLE,B1,adjective,,
convenient,NEAR,B1,adjective,,
efficient,,B1,adjective,,
confident,CERTAIN,B2,adjective,,
dependent,"NEEDING SUPPORT",B2,adjective,,
consistent,"NOT CHANGING",C2,adjective,,
colourful,UNUSUAL,B2,adjective,,
doubtful,"NOT PROBABLE",B2,adjective,,
eventful,,C2,adjective,,
edible,,C1,adjective,,
eligible,,C1,adjective,,
compatible,IDEAS,C2,adjective,,
dramatic,,B2,adjective,,
exotic,,B2,adjective,,
ethnic,,C1,adjective,,
dynamic,CHANGING,C2,adjective,,
electric,EXCITING,C2,adjective,,
demanding,,B2,adjective,,
entertaining,,B2,adjective,,
existing,,B2,adjective,,
convincing,,C1,adjective,,
comforting,,C2,adjective,,
corresponding,,C2,adjective,,
cunning,,C2,adjective,,
disturbing,,C2,adjective,,
condition,STATE,B1,noun,,
distribution,SHARING,C1,noun,,
condition,,C2,verb,,
diversity,,C1,noun,,
communicative,,B2,adjective,,
effective,,B2,adjective,,
exclusive,EXPENSIVE,B2,adjective,,
comparative,,C1,adjective,,
comprehensive,,C1,adjective,,
conservative,,C1,adjective,,
constructive,,C1,adjective,,
decisive,AFFECTING,C1,adjective,,
distinctive,,C1,adjective,,
excessive,,C1,adjective,,
exclusive,"NOT SHARED",C1,adjective,,
exhaustive,,C1,adjective,,
compulsive,HABIT,C2,adjective,,
compulsive,INTERESTING,C2,adjective,,
conclusive,,C2,adjective,,
consecutive,,C2,adjective,,
elusive,,C2,adjective,,
explosive,EQUIPMENT,C2,adjective,,
explosive,SITUATION,C2,adjective,,
endless,,B2,adjective,,
countless,,C1,adjective,,
daily,"EVERY DAY",A2,adjective,,
daily,,A2,adverb,,
easily,"NO DIFFICULTY",A2,adverb,,
correctly,,B1,adverb,,
definitely,,B1,adverb,,
differently,,B1,adverb,,
directly,"NOTHING BETWEEN",B1,adverb,,
comfortably,,B2,adverb,,
considerably,,B2,adverb,,
constantly,,B2,adverb,,
continuously,,B2,adverb,,
conveniently,,B2,adverb,,
critically,,B2,adverb,,
culturally,,B2,adverb,,
curiously,STRANGELY,B2,adverb,,
currently,,B2,adverb,,
deliberately,,B2,adverb,,
directly,CLEARLY,B2,adverb,,
dramatically,,B2,adverb,,
effectively,SUCCESS,B2,adverb,,
efficiently,,B2,adverb,,
equally,"SAME WAY",B2,adverb,,
especially,ONLY,B2,adverb,,
essentially,,B2,adverb,,
eventually,,B2,adverb,,
commonly,,C1,adverb,,
comprehensively,,C1,adverb,,
continually,,C1,adverb,,
easily,LIKELY,C1,adverb,,
equally,"SAME AMOUNTS",C1,adverb,,
equally,"SAME DEGREE",C1,adverb,,
exclusively,,C1,adverb,,
conclusively,,C2,adverb,,
consistently,,C2,adverb,,
diplomatically,,C2,adverb,,
effectively,REALLY,C2,adverb,,
department,,A2,noun,,
continuous,GRAMMAR,B2,adjective,,
continuous,"WITHOUT STOPPING",B2,adjective,,
dusty,,B1,adjective,,
contradictory,,C2,adjective,,
dead,"NOT ALIVE",A2,adjective,,
east,,A2,adjective,,
common,USUAL,B1,adjective,,
common,SHARED,B1,adjective,,
complete,WHOLE,B1,adjective,,
correct,SUITABLE,B1,adjective,,
cosy,,B1,adjective,,
direct,STRAIGHT,B1,adjective,,
due,EXPECTED,B1,adjective,,
dull,BORING,B1,adjective,,
duty-free,,B1,adjective,,
early,BEFORE,B1,adjective,,
eastern,"EAST PART",B1,adjective,,
complex,,B2,adjective,,
compulsory,,B2,adjective,,
constant,"A LOT",B2,adjective,,
contemporary,,B2,adjective,,
current,,B2,adjective,,
dead,EQUIPMENT,B2,adjective,,
deadly,,B2,adjective,,
definite,,B2,adjective,,
deliberate,,B2,adjective,,
direct,"NOTHING BETWEEN",B2,adjective,,
diverse,,B2,adjective,,
eastern,ASIA,B2,adjective,,
equal,"AS IMPORTANT",B2,adjective,,
expected,,B2,adjective,,
common,ORDINARY,C1,adjective,,
concrete,CERTAIN,C1,adjective,,
considerate,,C1,adjective,,
continual,,C1,adjective,,
corporate,,C1,adjective,,
cosmopolitan,,C1,adjective,,
customary,,C1,adjective,,
cutting-edge,,C1,adjective,,
dark,BAD,C1,adjective,,
day-to-day,,C1,adjective,,
dedicated,"GIVING TIME/ENERGY",C1,adjective,,
delicate,"NEEDING CARE",C1,adjective,,
deprived,,C1,adjective,,
deserted,,C1,adjective,,
devastating,SHOCKING,C1,adjective,,
direct,CLEAR,C1,adjective,,
distinct,DIFFERENT,C1,adjective,,
distinct,CLEAR,C1,adjective,,
distressed,,C1,adjective,,
down-to-earth,,C1,adjective,,
downward,,C1,adjective,,
drastic,,C1,adjective,,
dual,,C1,adjective,,
empty,"NO MEANING",C1,adjective,,
equivalent,,C1,adjective,,
excess,,C1,adjective,,
coherent,"CAREFUL THOUGHT",C2,adjective,,
complimentary,PRAISING,C2,adjective,,
complimentary,FREE,C2,adjective,,
concrete,REAL,C2,adjective,,
constant,"SAME LEVEL",C2,adjective,,
contrary,OPPOSITE,C2,adjective,,
crude,"WITHOUT SKILL",C2,adjective,,
crude,RUDE,C2,adjective,,
dazed,,C2,adjective,,
dazzling,EXCITING,C2,adjective,,
dazzling,BRIGHT,C2,adjective,,
dead,COMPLETE,C2,adjective,,
deceptive,,C2,adjective,,
dedicated,"FOR PURPOSE",C2,adjective,,
deep,SERIOUS,C2,adjective,,
definitive,,C2,adjective,,
delicate,ATTRACTIVE,C2,adjective,,
detrimental,,C2,adjective,,
devastating,DESTROYING,C2,adjective,,
dim,"NOT BRIGHT",C2,adjective,,
discreet,,C2,adjective,,
distant,RELATIVE,C2,adjective,,
distinct,HEAR/SEE,C2,adjective,,
dubious,"NOT TRUE",C2,adjective,,
dubious,DOUBTING,C2,adjective,,
due,DESERVE,C2,adjective,,
eventual,,C2,adjective,,
explicit,CLEAR,C2,adjective,,
explicit,"SHOWING SEX",C2,adjective,,
exquisite,,C2,adjective,,
east,,A2,adverb,,
even,SURPRISE,A2,adverb,,
either,,B1,adverb,,
even,EMPHASIS,B1,adverb,,
elsewhere,,B2,adverb,,
downwards,,C1,adverb,,
drastically,,C1,adverb,,
exceptionally,,C1,adverb,,
decisively,,C2,adverb,,
downhill,"TOWARDS BOTTOM",C2,adverb,,
crowd,,A2,noun,,
club,DANCE,B1,noun,,
crew,SHIP/AIRCRAFT,B1,noun,,
cost,"THING GIVEN",B2,noun,,
end,STOP,B2,noun,,
enemy,COUNTRY/ARMY,B2,noun,,
escape,"FORGETTING PROBLEMS",B2,noun,,
elite,,C1,noun,,
excess,,C1,noun,,
exhaust,GAS,C1,noun,,
exhaust,PIPE,C1,noun,,
consensus,,C2,noun,,
crystal,GLASS,C2,noun,,
essence,"BASIC QUALITY",C2,noun,,
exile,,C2,noun,,
compose,"BE MADE OF",B2,verb,,
correct,"SHOW MISTAKE",B2,verb,,
correct,"MAKE RIGHT",B2,verb,,
drown,DIE,B2,verb,,
educate,TEACH,B2,verb,,
elect,,B2,verb,,
entitle,"GIVE RIGHT",B2,verb,,
establish,START,B2,verb,,
consider,"MAY BE TRUE",C1,verb,,
crowd,,C1,verb,,
dictate,,C1,verb,,
dissolve,END,C1,verb,,
divide,DISAGREE,C1,verb,,
embrace,ACCEPT,C1,verb,,
embrace,INCLUDE,C1,verb,,
entitle,"GIVE TITLE",C1,verb,,
evolve,,C1,verb,,
exhibit,"SHOW OBJECTS",C1,verb,,
coin,,C2,verb,,
concede,ADMIT,C2,verb,,
concede,GIVE,C2,verb,,
drown,COVER,C2,verb,,
embrace,HOLD,C2,verb,,
establish,DECIDE,C2,verb,,
establish,DISCOVER,C2,verb,,
exhibit,"SHOW FEELINGS",C2,verb,,
goalkeeper,,B1,noun,,
grant,GIVE,B2,verb,,
gender,SEX,B2,noun,,
guy,MAN,A2,noun,,
guts,BRAVERY,B2,noun,,
granddad,,A2,noun,,
granny,,A2,noun,,
fancy,PERSON,B2,verb,,
garment,,C1,noun,,
facilitate,,C1,verb,,
gang,FRIENDS,C2,noun,,
heaven,"SOMETHING NICE",B2,noun,,
guts,ORGANS,C2,noun,,
get,UNDERSTAND/HEAR,B2,verb,,
hit,THINK,C2,verb,,
impatience,,C2,noun,,
import,PRODUCT,C1,noun,,
import,ACTIVITY,C2,noun,,
guidance,,B2,noun,,
ignorance,,C2,noun,,
independence,"WITHOUT HELP",B2,noun,,
independence,"FREE STATE",B2,noun,,
freezer,,B1,noun,,
heater,,B1,noun,,
helper,,B2,noun,,
footballer,,A2,noun,,
feeling,"PHYSICAL SENSE",B1,noun,,
greeting,,B1,noun,,
handwriting,,B1,noun,,
heating,,A2,noun,,
funding,,C1,noun,,
fighting,,B2,noun,,
feeling,IDEA,B1,noun,,
feeling,OPINION,B2,noun,,
feeling,EMOTION,B1,noun,,
farming,,B1,noun,,
illustration,PICTURE,C1,noun,,
identification,DOCUMENT,A2,noun,,
identification,RECOGNIZING,B2,noun,,
impression,OPINION,B2,noun,,
imagination,ABILITY,B1,noun,,
frustration,,B2,noun,,
generation,ENERGY,B2,noun,,
immigration,PLACE,B1,noun,,
immigration,"COMING INTO A COUNTRY",B2,noun,,
generosity,,B2,noun,,
hostility,,C2,noun,,
humanity,KINDNESS,C2,noun,,
humility,,C2,noun,,
identity,"WHO SOMEONE IS",B2,noun,,
hospitality,,C1,noun,,
imprisonment,,C2,noun,,
fulfilment,PLEASURE,C2,noun,,
government,PROCESS,B2,noun,,
illness,DISEASE,B1,noun,,
fitness,,B1,noun,,
illness,"BEING ILL",B2,noun,,
happiness,,B1,noun,,
greatness,,B2,noun,,
friendship,,B1,noun,,
extremist,,C2,noun,,
feather,,B2,noun,,
fox,,B2,noun,,
horn,ANIMAL,C1,noun,,
flute,,B1,noun,,
gallery,,B1,noun,,
headline,"IN NEWSPAPER",B1,noun,,
hero,BOOK/FILM,B1,noun,,
guest,TV,B2,noun,,
image,PICTURE,B2,noun,,
index,,C1,noun,,
feature,NEWSPAPER,C2,noun,,
flashback,STORY,C2,noun,,
house,THEATRE,C2,noun,,
hip-hop,,A2,noun,,
fiction,STORIES,B1,noun,,
folk,,B1,noun,,
harmony,MUSIC,C2,noun,,
graphics,,B1,noun,,
go,SONG,B2,verb,,
heart,ORGAN,A2,noun,,
forehead,,B1,noun,,
"heart attack",,B1,noun,,
human,,B1,noun,,
eyebrow,,B2,noun,,
eyelid,,B2,noun,,
fingernail,,B2,noun,,
gum,MOUTH,B2,noun,,
heel,"BODY PART",B2,noun,,
hip,,B2,noun,,
gene,,C1,noun,,
fist,,C2,noun,,
flashback,MEMORY,C2,noun,,
health,,A2,noun,,
flu,,B1,noun,,
hat,,A1,noun,Starters,
handbag,,A2,noun,Starters,
glasses,,A1,noun,Starters,
grape,,A2,noun,Starters,
fish,FOOD,A1,noun,Starters,
food,,A1,noun,Starters,
fruit,FOOD,A1,noun,Starters,
"ice cream",,A1,noun,Starters,
have,EAT/DRINK,A1,verb,Starters,
flat,,A1,noun,Starters,
garden,"BY HOUSE",A1,noun,Starters,
house,,A1,noun,Starters,
hall,BUILDING,A2,noun,Starters,
hall,ENTRANCE,A2,noun,Starters,
home,,A1,noun,Starters,
flower,,A1,noun,Starters,
find,"DISCOVER WHEN SEARCHING",A1,verb,Starters,
give,PROVIDE,A1,verb,Starters,
get," BRING",A2,verb,Starters,
give,"PUT NEAR",A2,verb,Starters,
hit,"WITH HAND/OBJECT",A2,verb,Starters,
hold,"IN HAND",A2,verb,Starters,
girl,"FEMALE CHILD",A1,noun,Starters,
hair,"ON HEAD",A1,noun,Starters,
fun,PLEASURE,A1,noun,Starters,
father,,A1,noun,Starters,
friend,"PERSON YOU LIKE",A1,noun,Starters,
grandfather,,A2,noun,Starters,
grandmother,,A2,noun,Starters,
football,BALL,A1,noun,Starters,
game,ACTIVITY/SPORT,A1,noun,Starters,
game,OCCASION,A2,noun,Starters,
hobby,,A2,noun,Starters,
football,GAME,A1,noun,Starters,
hockey,,A2,noun,Starters,
helicopter,,A2,noun,Starters,
fly,TRAVEL,A1,verb,Starters,
go,MOVE/TRAVEL,A1,verb,Starters,
go,"DO SOMETHING",A1,verb,Starters,
